Make,Model,Year,Country of Origin,Transmission,Engine Type,Engine Size (L),Mileage (km),Condition,Previous Owners,Additional Features,Resale Value (Ksh)
Toyota,Land Cruiser,2019,Japan,Manual,Diesel,2.0,53769,Poor,0,None,767809
Mercedes,C-Class,2010,Germany,Automatic,Petrol,1.4,54784,Excellent,2,Sunroof,2281419
Honda,Civic,2013,Japan,Automatic,Petrol,1.8,132581,Fair,0,Bluetooth,739631
Honda,CR-V,2004,Japan,Manual,Diesel,3.2,106629,Excellent,1,Backup Camera,1268664
Mercedes,GLE,2005,Germany,Automatic,Diesel,3.0,143736,Good,4,GPS,1419035
Honda,Civic,2004,Japan,Manual,Diesel,2.5,83368,Fair,5,GPS,338271
Toyota,Corolla,2011,Japan,Manual,Diesel,3.2,110757,Poor,4,GPS,747452
Mercedes,GLA,2002,Germany,Automatic,Diesel,1.4,99156,Good,1,Bluetooth,1423582
Mercedes,GLE,2022,Germany,Manual,Diesel,4.0,152115,Good,2,None,2750877
Honda,Civic,2000,Japan,Manual,Petrol,3.0,121935,Very Good,0,Sunroof,335938
Ford,Focus,2009,USA,Automatic,Diesel,2.0,80460,Good,5,Heated Seats,792731
Subaru,Impreza,2015,Japan,Manual,Diesel,1.4,165021,Fair,4,GPS,703252
Honda,Accord,2020,Japan,Automatic,Petrol,3.0,19776,Fair,0,Sunroof,1157684
Subaru,XV,2019,Japan,Manual,Petrol,3.2,116245,Fair,4,Leather Seats,1305495
Ford,Focus,2018,USA,Manual,Diesel,1.8,67160,Poor,5,Backup Camera,735884
Honda,Civic,2020,Japan,Manual,Petrol,4.0,166101,Poor,4,None,938665
BMW,3 Series,2016,Germany,Manual,Diesel,1.6,51033,Good,0,None,2272184
BMW,X3,2004,Germany,Automatic,Petrol,1.8,115000,Good,4,Bluetooth,1453946
Subaru,Impreza,2023,Japan,Manual,Petrol,3.2,46717,Excellent,4,Sunroof,2486353
Nissan,Qashqai,2002,Japan,Manual,Diesel,1.8,142928,Poor,4,Leather Seats,170102
BMW,5 Series,2017,Germany,Manual,Diesel,2.5,30676,Very Good,5,Bluetooth,2527880
Nissan,Navara,2019,Japan,Automatic,Diesel,3.0,130070,Fair,0,Leather Seats,1001900
Nissan,Navara,2019,Japan,Automatic,Petrol,2.0,62647,Very Good,5,None,1307749
Nissan,Qashqai,2002,Japan,Manual,Petrol,2.5,29259,Fair,3,None,456104
Nissan,Qashqai,2010,Japan,Manual,Diesel,3.0,49321,Very Good,4,None,985143
Nissan,Juke,2009,Japan,Automatic,Diesel,1.4,24407,Good,0,GPS,935669
Honda,Fit,2003,Japan,Manual,Diesel,3.0,82868,Excellent,2,Bluetooth,589955
BMW,X3,2004,Germany,Automatic,Diesel,1.4,18466,Poor,2,None,898325
Nissan,Navara,2003,Japan,Automatic,Diesel,1.6,90518,Excellent,1,Backup Camera,727960
